# step temp pe lx ly lz pxx pyy pzz
0 400.00000000000011369 -1476.9031721950916562 20.502711650097651841 18.163823159603751378 20.071466909726243699 2552.1943498988566716 2013.1110935357694416 2445.8097269417107782
100 206.01523744745205136 -1467.4420011567135589 20.502711650097651841 18.163823159603751378 20.071466909726243699 -5274.6253742089384104 -7524.6354410474159522 -6422.8955100299872356
100 206.01523744745205136 -1467.4420011567137863 20.807690694152402244 18.367453067374711395 20.405448349385519435 -5055.5724493666903072 -7212.1405651472814498 -6156.1554199550055273
200 233.72724696107911768 -1466.7972372486028689 20.807690694152402244 18.367453067374711395 20.405448349385519435 -3034.9978923553312598 -3826.2590791568345594 -3540.3473520783672939
300 254.91753322424094108 -1466.17708219706401 20.807690694152402244 18.367453067374711395 20.405448349385519435 2583.272686189533033 5600.5152362303142581 2778.185571634452117
400 219.73224559591668026 -1467.617148721182275 20.807690694152402244 18.367453067374711395 20.405448349385519435 5503.8180288053526965 5291.660400979078986 5672.6602771060843224
500 158.71259752231910056 -1469.5905115844334432 20.791975951142006807 18.019063944964059942 20.335419793575056246 -6011.2773187289158159 -8846.9183466826125368 -5807.8657966161963486
600 125.87171125786645121 -1471.5196519878263643 20.877353026425005567 17.961879359205262574 20.207706963401108169 -1964.118530649467175 -1547.4330204265231714 -218.73997621593736085
700 96.141426594027350916 -1472.6527228594377448 20.877353026425005567 17.961879359205262574 20.207706963401108169 579.15564420333805629 3353.5877361581124205 3146.8432911355776014
800 74.980459626325099975 -1473.3033151819181512 20.877353026425005567 17.961879359205262574 20.207706963401108169 -3142.5145240686501893 -815.70738204260771909 -2260.9236041489748459
900 62.569023503191765201 -1473.4567279983893968 20.877353026425005567 17.961879359205262574 20.207706963401108169 -6917.4580909665846775 -2407.2848217165765163 -3045.6949195857341692
1000 55.920688884407908859 -1473.3724415585027145 20.877353026425005567 17.961879359205262574 20.207706963401108169 -5352.2802166077544825 19.553633602274157255 176.26984185950198025
1100 54.510951052583017429 -1473.1326561801938624 21.877378236390764954 17.808159116939876299 20.000196203119976701 -7774.2194746015511555 -930.41387477612124712 -225.67237377646517871
1200 57.171471838164592327 -1473.0194920428521073 21.877378236390764954 17.808159116939876299 20.000196203119976701 -8235.3065391629570513 -536.2969794589138246 -584.51055006113028867
1300 53.634631349719249727 -1472.6154404721437459 21.877378236390764954 17.808159116939876299 20.000196203119976701 -10469.058049856021171 -1335.0937391255204147 -2611.7185590698818487
1400 67.590537908473322659 -1473.147608900042087 22.547541268539006865 17.713123302620410016 19.619714066147075471 -6638.0604279299741393 1852.483204725040423 1635.7618521235208391
1500 70.129648626730599403 -1473.6605928767066871 22.280604528610929549 17.684044979010419496 19.581488046997399977 -3523.557316076504776 4452.6065036278478146 3969.8537819932794264
1600 87.960787311686786438 -1473.6601278336495398 22.280604528610929549 17.684044979010419496 19.581488046997399977 -4018.22817904913245 854.71869361732308334 1999.6503083869263264
1700 108.11396512878562248 -1472.9560827024329228 21.526511141153775952 17.647561299913409272 19.172661353932312522 -4913.7572291299165954 -2972.4057024094263397 -1197.3563509016885291
1800 156.64321677421676782 -1472.5129744457001379 21.526511141153775952 17.647561299913409272 19.172661353932312522 1317.5041685415865231 2069.8458686391591073 2008.705729544159567
1800 156.64321677421676782 -1472.5129744457008201 21.368933653692735675 17.802282503523166213 19.461900734517538325 1296.1311687348459145 2036.2681264150953666 1976.1198234085575223
1900 190.78743111253214693 -1472.0815839781621435 21.368933653692735675 17.802282503523166213 19.461900734517538325 6623.7135782922050566 4796.8655483888442177 5096.7735718414742223
